Cultivated area (hec),Seed (Kg),Urea (kg),Phosphate (kg),Potassium (kg),Nitrogen (kg),Insecticide (lit),Water (m3),Irrigation frequency,Yield (kg),Fuel (lit),Electricity (kwh),Calculated carbon emission(kg co2-eq)
3,5.3,510,340,164,1271,7.3,12865,5,152875,108,5356,14984
1.75,6.5,303,197,79,758,3.6,7481,6,88582,69,3629,9027
1.5,5.2,269,151,68,638,3.3,6952,6,70558,56,2368,7483
2.5,5.3,316,273,157,982,5.9,11572,7,127210,99,4580,12173
0.75,2.4,90,76,40,298,1.8,3107,5,38933,27,1137,3904
2,7.7,344,194,91,793,5.3,7435,6,105601,79,1823,10716
1,2,142,96,49,446,2.2,4199,7,48278,40,561,5571
3,4.4,395,264,136,1214,6.7,13237,5,142815,112,5811,16652
1.75,6.6,281,188,110,704,3.5,6208,5,86024,62,2026,9911
1,2.4,127,98,40,428,3,4112,5,47045,40,941,5872
0.75,2.1,113,65,34,287,2.1,2803,5,35487,30,1451,3669
0.5,1.9,74,44,24,203,1.1,2058,6,23509,18,692,2419
0.75,0.8,122,68,39,323,2,3186,7,39029,29,459,4157
2,6.7,304,212,106,803,4,9065,4,96152,79,2727,10237
1,3.4,132,84,44,427,2.1,3512,5,47186,37,1315,5564
2.5,3.2,340,217,147,917,7.4,9772,7,119166,89,2583,13835
1.75,1.8,293,157,75,637,3.8,6523,5,91280,66,3234,10078
0.75,2.7,91,64,42,280,1.5,3519,4,36494,27,677,4376
2,7.8,256,210,98,821,5.3,9135,6,97462,74,2709,10360
2,5.2,296,183,128,854,5.6,7256,5,102761,76,1874,9836
0.5,0.6,81,43,26,200,1,1776,6,25503,18,1131,2630
1,1.5,134,100,57,399,2.3,3461,6,49626,36,1975,5214
3,3.7,467,298,145,1122,8.3,11829,6,156115,115,6380,15141
0.75,1.1,128,73,31,287,1.8,2696,6,36854,27,274,3972
3,7,466,254,124,1190,7.9,11282,6,158567,118,1151,14458
3,3.9,482,243,124,1309,8.1,10506,6,154607,113,5357,14684
2,2.3,251,220,100,833,5.7,8915,4,100000,74,3638,11114
2.5,6.3,324,252,129,1037,6.6,10731,5,122951,96,5420,12947
2.5,9.1,358,205,127,1055,6.1,9580,4,122002,94,5360,12364
2,7.1,337,199,110,821,4,9318,7,99375,74,3259,9960
1.25,1.8,216,105,54,534,2.6,4433,7,65877,50,1946,7173
2.5,8.4,380,256,107,1072,4.9,10833,4,119142,99,4055,14175
0.5,1.1,73,42,27,205,1.1,2295,5,26434,18,852,2881
1.25,4.4,178,124,50,494,2.9,5551,5,66238,47,2638,6445
3,4.6,532,328,192,1114,7.6,12335,6,154194,114,4019,15385
3,6.7,415,334,123,1100,6.1,11386,7,150344,113,5761,15492
1.25,3.1,224,115,51,513,3.7,4410,4,63031,44,2125,7362
0.5,0.6,65,53,27,188,1.5,1722,7,25256,19,669,2614
2.5,6.4,305,285,139,981,5.3,8514,4,124380,100,2947,13800
0.75,1.4,98,85,39,283,2,3520,4,38500,29,1331,3831
0.75,2,94,83,40,296,2,2692,6,36227,28,835,3650
1,1.7,146,90,40,444,2,4609,5,50412,39,1257,5685
2,5.7,345,162,114,813,5.7,9398,7,99169,74,2450,10163
1.5,2,265,163,69,558,3.7,5445,4,72422,57,1692,7689
3,7.5,376,330,181,1330,7,12875,6,156402,112,4391,17590
0.75,1.1,96,77,43,311,1.8,2833,7,36869,28,1166,3637
1.75,3.8,227,190,89,688,4.9,6688,5,88568,66,3054,9602
3,10,450,307,186,1159,9,10538,6,143709,118,3866,17352
1.25,2.7,172,103,65,540,3.7,5437,5,59337,47,2593,6087
0.5,1.9,67,42,23,198,1.1,2245,4,24466,20,741,2416
1.75,5,276,150,100,731,4.2,6782,6,88246,66,3178,9892
3,9.6,384,256,194,1334,8.5,10777,6,143579,113,5728,15081
0.5,1.9,75,55,29,182,1,2028,5,26364,18,565,2416
2,4.9,273,166,101,810,5.3,6823,5,105440,79,4253,11542
1.75,6.8,304,142,73,726,4.1,7512,7,87310,64,3591,8625
1.75,3.1,221,167,98,731,3.4,6304,5,92726,66,3996,9943
0.5,1.9,87,48,31,215,1.3,1701,7,25895,18,865,2654
0.75,2.1,94,84,41,292,1.7,3249,6,36274,28,1628,3775
2,5.3,265,217,95,807,5.1,9135,4,100395,71,2879,11463
1.25,4.1,219,108,67,456,2.4,4473,5,65417,50,1659,6708
0.5,1.9,76,48,27,219,1.2,2310,4,24061,20,594,2666
2,5.1,323,165,98,844,4,8596,7,98679,75,2951,11152
1.25,1.7,179,141,61,525,2.9,5079,7,62922,48,687,7129
3,9.3,532,273,142,1190,6.1,13151,6,153472,112,2877,14614
2,8,286,173,124,798,4.6,9233,6,99430,71,2852,10378
3,11.7,444,310,132,1102,8,10942,7,149411,120,2082,14864
1.5,1.7,247,137,64,632,4.3,5949,4,73983,59,942,7248
3,5.2,453,317,194,1215,6.2,13234,4,144034,115,1742,15177
1.5,3,239,140,60,624,3.8,5995,6,77997,57,1314,8689
2,5.9,333,169,118,854,4,7880,6,98993,80,4511,11047
1.5,5.7,227,152,92,635,4.3,6131,7,73256,60,3134,8673
3,5.8,422,321,188,1093,8.1,12413,5,151921,109,2168,16402
1.5,2.1,192,125,65,588,4.3,6952,7,78953,59,2162,7479
3,11.6,431,313,194,1235,6.1,10654,6,144679,113,3524,16626
2,4.6,353,222,122,857,3.9,6979,6,95013,76,4370,11117
0.5,0.9,75,46,31,201,1,2267,4,24546,18,743,2820
2,2.4,282,195,128,825,5.5,9095,6,104300,72,2620,9683
1.75,3.5,255,164,102,744,4.4,6105,5,88164,62,2921,8830
3,8,529,339,185,1117,6.1,12968,4,141478,111,888,16519
1.5,4,211,171,93,551,4.3,6759,7,77613,55,3391,8346
0.5,0.9,76,57,27,207,1.4,1756,6,25945,20,1028,2749
2.5,2.7,376,218,118,1053,6.1,11409,5,132365,94,3850,12682
3,9.3,478,320,178,1252,7.4,13770,4,154462,118,3308,14753
1.25,3,216,123,52,530,3.4,4471,6,61457,48,703,6545
1.75,3.9,222,195,93,631,4.5,7660,6,90696,62,3285,9811
1,3.9,132,112,51,447,2.6,4142,5,52666,39,975,5095
1.25,4.8,221,114,70,494,3.1,4878,4,61878,47,1878,7022
0.75,2.9,130,71,32,334,1.7,3043,4,37671,28,1227,4021
0.5,1.9,76,56,25,209,1.5,1915,4,25685,18,749,2889
2.5,9.8,300,232,159,904,7.1,8829,6,126735,100,3792,13810
1.25,1.3,199,143,55,554,3.5,4753,4,65700,45,1432,7265
1,3.3,165,93,51,382,2.5,4419,7,51782,38,2008,4969
2,3,259,216,106,827,5.2,8683,6,96108,79,3976,10313
1.75,4.7,262,169,80,647,4.1,7661,5,88760,63,3830,9124
1.5,2.9,205,161,80,601,4.2,5469,5,78911,58,1773,7492
1.75,3.7,286,170,84,742,4.1,8183,5,91112,68,1602,8706
0.75,2.2,111,76,45,307,2.1,2572,6,37826,29,934,4240
1.5,2,213,170,88,638,4,5243,6,77359,58,551,8641
1.25,4.6,197,135,65,553,3,5565,7,63982,49,2649,6591
1.25,4.7,211,137,61,516,2.7,5210,6,60251,45,993,6525
2,5.6,360,160,129,770,5.1,8101,6,105161,80,4155,11007
0.75,2.8,95,83,42,271,2.2,2553,6,38099,28,452,4132
0.75,1.9,101,73,47,312,2.1,3040,7,35494,29,1258,3981
0.5,0.6,84,46,30,183,1.4,1886,4,24165,18,589,2902
1.25,3.4,196,115,57,511,2.7,5235,5,63464,50,1562,7223
0.75,2.7,117,85,48,305,1.7,3287,6,39237,28,892,3976
1,3.8,130,90,64,428,2.2,4118,7,50205,37,472,5689
0.75,1.6,98,70,48,286,2.2,3373,5,36489,29,398,4406
0.5,1.6,67,52,26,211,1.4,1908,7,23516,18,358,2637
0.5,1.4,89,53,31,204,1.3,1952,4,26317,18,1017,2817
1.25,1.3,190,111,55,471,3.6,4464,6,62759,49,702,6100
1.5,5,225,164,86,610,3.5,6109,5,75689,59,3052,7679
2,6.9,266,178,111,785,5.5,9238,4,104011,78,640,10943
1,3.9,149,104,53,443,1.9,4112,7,51342,40,1801,5717
1.25,1.4,165,140,74,494,2.9,5387,6,64044,49,2590,6280
2.5,5.4,352,208,102,948,5.1,10574,7,127974,93,1470,14692
2,7,303,218,90,822,5.7,7800,7,105118,79,3420,10090
1.5,4,238,148,87,654,4.1,5595,5,78430,57,2802,7696
3,8.7,366,334,135,1104,8,13435,6,151428,120,3284,16298
2.5,5.5,346,250,118,957,6.1,8937,7,129246,89,2919,12206
1.5,2.6,208,139,62,665,4.4,5390,4,76719,53,3124,8658
2.5,8.1,449,261,116,943,6.7,9250,4,132466,93,749,12675
1.5,4.2,216,140,85,576,3.2,5340,7,71928,53,2458,8396
1.75,6.4,284,173,83,699,4.6,8014,7,91792,64,603,9470
0.75,2.1,104,77,48,311,1.5,3282,4,39295,26,601,3881
1.75,6.6,278,185,92,753,5,6741,7,84422,65,3576,9798
1.25,4,202,125,79,473,3.6,4868,7,65580,49,878,6681
1.25,2.9,199,142,64,491,2.9,4399,4,62131,45,1319,6925
0.5,1.1,70,47,26,195,1.3,1730,7,25383,18,935,2808
3,7.5,513,321,144,1145,7.1,11019,5,149477,118,5630,16898
0.75,1,132,75,46,291,1.9,2798,7,35417,30,435,3680
0.75,2.2,121,80,43,320,1.9,3281,5,38662,27,1015,3964
0.75,2,115,84,36,305,1.8,2921,5,35692,30,222,4030
2,7.9,298,203,101,842,4.5,9194,6,94850,71,4161,11399
2.5,2.6,442,202,103,901,6.6,11063,6,123922,94,2966,12117
3,6.5,519,314,137,1193,8.8,11347,4,158943,116,2343,16655
1.25,4.1,211,118,80,481,3.3,4956,4,61423,48,1710,7307
0.5,0.7,79,51,22,220,1.5,1756,6,23534,18,522,2884
1,3.3,158,93,51,424,2.8,3807,7,51284,36,2161,5258
0.5,1.1,80,55,21,187,1.4,2077,4,25604,19,946,2787
1.25,3,176,137,67,551,3.6,5354,6,62726,46,657,7117
0.5,0.7,84,47,20,222,1.5,2189,7,23675,19,714,2949
1,2.8,125,90,64,385,2.3,4340,6,51830,40,413,5501
1.5,3.7,228,149,94,552,4.4,6871,6,77977,53,3144,8140
1.5,5.8,182,162,72,625,3.1,5718,5,75641,55,2330,8344
0.75,1.8,116,68,46,332,1.9,2647,7,38837,28,923,4020
0.75,3,135,78,46,305,1.7,3242,7,36852,30,826,3605
3,3,472,256,162,1147,6.8,12469,6,144271,113,4258,16210
2,4.7,338,193,120,868,4.1,7224,5,105451,70,2366,10451
1.5,4.9,264,136,88,606,4.3,5659,5,74246,60,2367,7723
2,7.5,344,198,103,792,4.4,7766,6,102709,72,1063,9829
0.75,2.7,100,75,35,294,1.8,3467,5,39599,27,1319,3987
0.5,1.5,70,43,21,224,1.3,1764,4,24297,20,234,2811
1.5,1.7,227,157,87,588,3.7,5697,7,76444,57,2991,7415
1.25,4.1,173,120,65,452,3.1,4942,4,60915,45,2046,6042
2.5,8.1,352,243,137,919,7,9265,6,120662,96,1526,13613
3,5.4,379,293,145,1156,7.7,13612,7,152566,114,3206,16882
2,6,357,185,82,878,4.4,8729,6,96266,75,847,9973
0.75,2.3,115,86,33,327,1.7,3065,4,35803,29,1071,3911
0.5,0.9,80,43,23,203,1.4,1925,7,24258,19,733,2661
3,10,449,261,195,1255,6.4,12871,6,156557,108,1282,17004
1.75,4.4,233,169,85,642,4.5,7411,5,83939,62,4002,10151
2,2.6,330,181,107,743,5.8,8064,7,94398,77,1670,10532
2,4.4,247,228,96,898,3.8,7461,6,103392,74,1952,9832
1,3,170,108,55,410,2.2,3515,7,52365,38,692,4950
1.25,2.1,207,101,65,461,3.5,5264,6,64811,50,2269,7087
3,10.4,398,291,123,1178,8.3,12389,4,148241,106,2470,15080
2,7.7,313,162,119,776,4.2,7800,4,104239,77,3905,10680
2.5,2.5,448,276,106,1075,6.6,10053,5,118907,99,5250,14381
3,3.2,509,266,188,1296,6.6,10672,7,142693,117,3421,14766
0.75,1.3,116,61,30,322,1.5,2581,7,37187,27,1600,4118
0.75,2.8,126,81,38,314,1.6,2864,5,37091,30,933,4199
3,6.2,533,252,124,1253,6.5,14029,4,143819,107,1452,15802
3,3.5,511,245,125,1323,8.3,11037,5,158750,110,4361,15332
1.75,3.9,215,181,79,668,4.2,6896,6,87552,62,3085,10071
2.5,7,303,212,136,1104,7.5,8605,7,119565,98,2592,13587
1.75,6.1,269,156,89,708,3.6,8146,7,84133,65,2234,9340
1.75,6.7,219,188,80,744,4.4,6310,4,90080,69,1253,9625
1.5,4.4,181,164,68,673,3.6,6192,7,73475,60,2183,7465
1.25,4,214,104,51,515,3.2,5529,4,60046,49,733,6714
2,5.5,342,196,100,862,5,7264,4,97301,72,4023,10927
2.5,5.7,408,276,105,982,7.3,9809,4,131453,91,5325,13266
1.5,3.5,220,167,64,584,3.9,5322,5,79155,54,3402,8071
1.75,3.9,295,195,113,691,3.9,8102,6,92461,65,3992,8981
1.5,1.5,241,146,87,616,4.4,6644,6,77557,54,2341,7272
0.75,2.6,98,69,45,296,1.6,2707,6,35750,27,830,4030
1.25,1.8,178,119,69,454,3.2,5198,6,61684,48,636,6780
1.75,3.5,232,167,75,726,3.6,7090,6,87863,66,3440,8870
2.5,6.7,402,238,142,1099,6,9192,5,128271,94,3225,13376
1,1.3,132,110,46,442,2.8,4389,5,50197,39,1623,4818
1.5,4.3,238,155,91,650,3.1,7022,5,75793,55,680,8639
0.75,0.8,115,73,42,308,2.1,2753,6,37369,27,1263,4240
1.75,5.7,287,166,73,676,3.7,6270,5,85805,62,984,9810
1,2.6,164,100,55,447,2.9,4438,5,49908,37,499,5535
1,2.9,171,92,45,386,2.1,4235,6,52172,39,1978,5867
3,11.9,383,282,137,1107,6.1,11930,6,151645,105,6780,14530
1.5,3,262,148,94,634,4.1,6029,5,78889,53,2125,7947
0.5,1.8,82,50,29,213,1.2,1801,5,24196,20,694,2652
0.75,2.5,126,83,44,330,2,2870,5,38609,26,344,4025
1.5,1.8,187,172,85,606,4.4,6305,5,73653,57,2691,8360
0.5,1.5,67,57,25,198,1.2,2242,7,24974,20,450,2680
2.5,7.6,445,223,118,927,5.2,11499,7,124991,88,3370,12137
2,2.7,307,162,121,747,4.2,7619,4,94029,77,4160,11722
2.5,5.2,450,271,162,999,6,8808,4,125475,91,4117,12943
3,4.6,451,293,176,1234,7.7,11018,5,142738,118,1073,17098
3,10.2,540,246,163,1177,7.4,13909,7,144575,120,3358,16420
1.25,2,182,133,50,529,2.6,4374,7,59668,45,573,6086
2.5,9.4,349,212,150,1058,5.7,9970,6,120068,94,4985,14227
0.5,2,61,57,29,217,1.1,2271,6,25528,19,276,2768
3,5.1,392,247,156,1166,8,12918,7,149395,109,2752,16580
2.5,4.8,332,278,132,1042,5.1,8683,4,118494,93,2808,12331
0.75,2.3,104,76,32,316,1.6,2782,4,36066,28,326,3767
0.5,1.5,61,51,30,195,1.1,2016,4,24545,18,802,2436
1.5,4.6,235,140,75,616,2.9,5219,4,76727,55,1304,8435
3,6,387,320,132,1169,8.4,13140,4,141483,106,4931,17604
0.75,2.5,133,68,46,318,1.8,2856,7,38387,28,1280,4401
2,4.4,268,180,129,760,4.9,7324,4,101736,74,711,10661
1.5,2.1,267,133,75,629,3,6201,4,73072,56,1848,7233
1,2.8,161,84,53,369,2.2,4227,5,48040,36,651,5279
1,10,0,200,0,200,4,8000,8,12000,72,5000,2640
2.5,18,12,530,5.7,468,11,21469,7,26605,133,13812,5766
3,24,16,548,4.4,565,13,21923,9,35760,152,13849,7414
1,9,2,215,0.7,197,3,7756,6,12311,69,5096,2979
0.5,7,5,91,1.3,110,2,3705,6,6135,36,2495,1568
2.5,20,12,448,8.2,479,13,20316,8,32864,120,11658,7960
2,29,6,381,8.6,379,9,15587,9,26667,139,9434,5343
2,13,10,364,10,410,7,16842,7,26357,144,11579,5931
0.5,4,3,106,1.8,106,3,4009,8,6344,30,2735,1574
0.5,6,3,98,0.1,99,3,3582,9,5630,35,2690,1558
0.5,3,4,92,0.6,97,2,4100,9,5251,39,2822,1348
1.5,15,7,307,4.6,311,8,10823,5,16828,87,8171,4217
1.5,16,14,277,1.9,319,8,10503,6,17133,119,7968,4395
1,13,2,180,3.7,189,3,7944,8,13062,77,5760,2834
0.5,5,4,102,1.7,101,2,4211,6,5266,32,2477,1338
1.75,17,10,369,3,364,6,13182,9,21934,89,8081,4896
1,10,5,197,0.4,209,3,7669,8,12596,64,5720,2794
1.75,15,17,340,0.1,368,9,13169,7,21209,95,9105,4268
3,22,14,603,6.5,602,14,23205,5,31824,225,15890,8288
0.75,8,6,152,2.7,155,3,6213,9,8559,51,3566,1889
1,9,6,188,3.3,197,4,7022,9,12722,80,5132,2936
0.75,9,5,134,1.3,152,3,5674,5,7913,51,4212,2032
3,37,28,579,4,620,16,23458,7,36111,227,16375,7457
2,12,9,403,7.7,391,6,16458,8,21621,117,10267,5855
0.5,4,2,95,2.2,105,2,3885,9,6309,39,2452,1260
1.75,19,8,361,3.1,336,6,14165,8,18850,99,9202,4262
2.5,22,13,510,9.6,542,11,18575,5,27067,136,11880,6488
3,38,13,577,5.8,617,9,22181,8,36536,227,16802,7659
1.75,18,13,315,7.3,368,6,12659,7,19405,95,8088,5426
2,29,13,380,1.7,425,9,14571,7,21981,124,10993,4877
1.5,12,14,272,1.7,289,6,12312,6,16571,99,7343,3850
1.5,17,13,272,3,312,6,12493,5,19366,116,7569,3621
1.5,20,12,268,2.5,323,6,11664,8,17699,87,7917,4267
2,22,7,361,0.9,431,9,16658,9,25843,151,9581,5617
3,45,18,596,2.5,606,16,24915,9,35450,154,14408,8540
1.25,8,5,258,4.2,256,6,8878,5,16306,96,6547,3212
1.25,8,7,225,5.7,249,6,9796,5,14394,98,5991,3038
0.5,4,2,92,0.5,103,2,4053,9,6702,27,2862,1350
0.5,7,3,102,1.6,105,2,3888,5,6215,36,2687,1222
1.25,12,9,233,4.1,256,5,10332,9,15222,86,6948,3179
1.25,17,12,226,4.1,274,6,10405,6,13570,91,6680,3415
1,8,6,208,1.8,204,4,8420,5,10720,73,5568,2685
3,24,14,541,14.3,579,11,21387,9,38570,159,14407,8443
0.5,6,4,101,2.1,95,2,3790,9,5619,33,2619,1343
2.5,27,14,459,0.5,481,11,19170,9,33702,153,13834,6360
3,27,25,577,2.3,564,15,24180,8,36099,219,14176,9029
1,15,6,198,1,212,5,7719,5,11874,79,4952,2397
1.5,10,14,306,5.7,296,7,12593,5,19981,74,8293,3686
3,37,8,578,11.2,632,13,21696,5,31908,185,15695,7544
2,26,14,365,0.8,388,6,15493,8,21232,155,9770,4856
1.25,16,8,231,3.9,241,5,8754,5,16622,76,6947,3220
1.75,21,15,315,2.8,341,9,15008,6,18595,132,8619,5117
1.75,23,16,374,8.7,368,9,13405,5,22841,131,9453,4621
1.75,18,11,321,2.8,351,6,13259,6,21059,133,9188,5305
3,21,13,535,6.6,625,14,22834,8,39708,198,17265,7157
2,26,7,375,2.7,420,10,14249,6,22039,109,10051,5186
1.25,18,6,239,3.1,243,4,9972,6,13268,72,6346,3511
0.75,8,3,143,1.2,157,3,5873,6,9861,59,4348,2110
1.75,12,9,345,2.5,375,9,13147,5,21426,116,9000,4664
0.75,11,5,153,1.6,146,3,6100,5,9384,53,3719,2345
2,27,9,410,1.8,396,10,16351,5,24221,147,11554,4892
1.25,12,9,260,2.6,252,6,9164,5,13571,61,6330,3639
1.75,26,10,355,2.4,337,8,13315,9,23331,96,8643,5428
1.5,15,10,305,7,301,8,11950,6,18181,90,7752,4347
0.75,7,5,146,1,143,4,5336,6,8338,54,3992,2196
1.75,20,8,372,0.2,336,9,12735,5,22152,119,9422,4284
1.75,24,12,331,2.9,356,9,13399,7,22914,136,8472,4581
1.5,18,4,311,5.8,322,7,10771,5,17787,87,8494,4738
2,14,14,360,9.5,384,9,15432,5,26595,125,9380,6053
1.25,8,11,227,6,239,5,10589,6,16483,62,5803,3334
0.5,7,3,107,0.5,94,2,4197,6,6678,31,2510,1438
1,11,10,181,0.3,202,4,8328,9,13080,59,4696,2673
3,45,26,633,6,636,16,24874,6,39897,193,15065,8992
0.5,6,2,107,0,100,2,3712,9,5282,38,2823,1401
1.75,21,10,375,3.2,370,6,13598,8,21535,116,8158,4777
2,14,9,397,7.9,377,10,14335,9,26233,107,10177,5693
1.75,24,14,337,8.5,385,8,12424,9,23436,98,8338,4536
0.75,9,2,144,2.4,160,3,5805,6,7900,56,3842,2157
1.75,18,16,336,7.6,336,6,14195,9,21942,114,10023,4028
1.75,22,16,359,0.7,352,10,12690,5,19254,112,8761,4300
2.5,37,8,469,9.2,524,9,20179,7,32176,136,12606,7622
1,10,8,208,2.4,193,5,7906,6,11660,58,5273,2548
1.25,17,11,266,0.7,272,5,9009,5,15477,69,6247,3377
1.5,15,10,300,5.7,281,7,11689,6,18112,73,7899,3752
3,25,28,549,9.2,630,14,21053,5,34281,179,16636,8175
1,14,7,180,0.2,191,3,7953,6,10904,78,5480,2612
1,12,7,183,1,208,4,7251,7,11706,65,4913,2715
1.5,12,10,297,2.5,316,5,11289,7,18897,73,8099,3800
0.75,8,5,152,1.9,156,3,5492,8,8835,54,4322,2028
1.75,14,7,356,5.5,347,8,14016,9,20739,139,8273,4445
1.25,14,12,249,3.2,266,5,10678,5,16146,84,6595,3708
1,15,9,214,2.9,216,5,8159,5,11817,48,5261,2701
2,27,14,421,6.9,415,9,15411,6,21337,125,10468,6376
0.5,7,1,90,2.5,109,2,4191,9,6286,26,2514,1494
0.5,3,5,106,2.1,108,2,3965,6,6004,30,2689,1330
2,18,10,403,3.9,420,10,16757,7,24708,124,10232,5989
1.25,17,5,232,1.7,250,5,9894,8,15808,98,6100,3695
0.75,6,3,136,2.4,144,2,6419,7,8399,53,4083,1950
0.75,8,7,154,1.8,165,3,5488,7,8481,47,3696,2076
1.25,9,5,227,5.5,255,4,10740,7,13648,94,6400,3899
2,13,12,361,2.3,386,10,14490,8,23433,143,10853,4748
0.75,6,6,136,2.4,142,4,5577,5,9629,52,3528,2198
1.5,15,8,291,6.2,295,6,11639,9,19307,106,6985,4382
1,14,8,178,2.1,193,5,8406,9,10688,65,5522,2905
2,18,5,393,9.5,406,7,15939,5,24384,126,11293,4740
0.75,7,4,135,3.6,149,4,6306,7,9712,49,3932,2011
1.5,22,14,321,1.3,289,5,12295,8,17927,85,7013,4029
0.5,4,1,99,0.4,109,2,3626,6,5330,29,2725,1324
1,13,7,191,4.1,210,5,7690,6,11012,73,5230,2957
0.5,7,2,99,1.8,94,2,3780,5,6640,33,2553,1322
1,10,10,215,2.5,192,3,7714,8,12103,65,5152,3147
1.25,12,8,266,2.4,241,5,9986,7,14732,78,6569,3858
1,6,5,206,4.9,195,4,7640,6,10899,75,4813,3044
1,9,4,184,3.3,206,4,7030,7,10592,76,5727,3137
2,16,19,405,1.8,439,8,14793,9,25265,147,10217,5320
3,27,13,628,8,573,12,21471,9,38511,218,14921,8353
1.5,16,14,280,2.9,327,6,12289,8,18054,77,7956,4072
2.5,16,24,481,10.8,477,11,20533,5,26945,198,12214,7786
1,11,4,180,1,200,3,7894,5,11790,55,5783,2420
2,26,18,388,1.2,386,9,15525,6,22643,151,10770,5161
1.25,12,4,223,1.2,245,6,10740,9,15415,65,6851,3865
1.25,15,11,245,5.9,255,4,9603,7,16775,77,6180,2984
2.5,31,23,529,9.1,547,11,17933,7,29070,147,13432,7903
0.5,5,5,98,1.2,110,2,3800,6,5643,36,2412,1152
1.75,13,14,357,4.4,344,8,14969,5,21221,95,9072,4218
1,10,7,197,0,189,3,7303,5,10984,65,5629,2997
3,40,19,576,7.9,581,9,23005,9,35100,224,14890,9431
0.5,6,4,98,0.2,109,2,3542,6,6626,29,2569,1543
1.5,15,6,314,3.6,281,7,10996,8,16472,93,7925,4558
1.75,19,12,345,5.6,361,8,13136,7,21934,131,9034,4707
1.5,20,11,314,3.6,316,8,10537,6,16016,75,7408,3451
1.25,11,9,253,1.1,246,4,10574,6,16396,89,6608,2897
1.5,19,7,283,5.9,319,6,12752,9,18342,77,7725,4446
1.75,21,4,363,6.5,358,9,13978,7,21029,101,8915,5231
0.5,6,5,102,0.2,102,2,3829,9,6597,39,2362,1292
0.75,8,4,157,1.8,146,4,5406,5,7994,37,4267,2290
1.5,18,14,284,2.5,293,7,12488,6,17158,86,6903,4441
1,7,10,210,4.3,209,5,8571,9,12401,57,5647,2996
1,8,6,188,1.1,218,4,7829,5,12923,60,5647,2428
3,38,26,622,11,586,9,24204,6,37690,159,13985,7492
0.5,3,3,98,1.6,95,3,3641,9,5385,38,2689,1197
2.5,18,16,472,7,494,10,18728,7,30530,150,13364,7760
1.25,15,9,257,0.6,263,6,8837,8,15884,80,7027,3199
1,7,6,193,4.9,191,3,8021,5,13119,57,5535,2557
0.5,6,4,97,0.3,109,2,3830,8,6669,40,2883,1552
2.5,24,10,457,7.6,475,14,19116,9,30014,178,12258,7037
1.75,13,14,377,3.2,348,6,13934,8,21274,87,8246,4333
3,39,16,551,10.9,586,10,22719,7,31860,215,17093,8095
2.5,24,19,479,7.5,547,13,19913,7,30352,143,13519,7136
1.25,9,10,246,2.7,263,4,10623,9,13264,75,6510,3600
0.75,7,4,137,1.1,147,3,5931,8,9601,43,3863,2227
0.5,7,2,93,2.4,97,2,3843,5,6650,26,2528,1518
1,8,2,216,0.4,197,5,7902,6,12394,50,5452,2793
0.75,9,6,157,2.2,141,3,6209,7,9651,36,3768,2088
2,30,19,384,0.9,439,11,15354,6,24161,102,11553,5194
0.75,5,6,150,1.7,149,3,5878,8,8516,37,3694,2363
2.5,15,13,521,5.2,516,9,18972,9,28108,159,14495,6286
1,9,8,206,3,194,3,8450,8,11111,69,5517,2887
0.75,5,7,151,2.7,160,3,5586,7,9615,41,4270,1937
0.75,10,5,143,2.9,164,4,6005,7,9960,57,3904,1950
2.5,25,20,486,4.8,516,8,19401,6,29778,144,12614,6479
3,23,10,620,10.5,617,12,25063,7,36717,193,16869,8086
1.5,19,7,296,5.3,302,5,11997,6,19233,85,7508,3587
0.5,4,5,92,2.4,103,2,3714,8,5706,39,2411,1524
2,23,9,388,8.6,426,7,15539,7,21369,103,10547,4853
2.5,21,18,497,6.8,518,8,21196,7,27634,135,11812,7689
0.75,5,3,152,2.4,153,3,6348,9,9739,41,3849,2286
3,33,28,606,9.9,655,13,25467,5,34398,213,16643,8668
1.25,16,5,257,0.9,240,5,8765,9,14228,77,5924,2970
1,13,10,205,1,188,4,8372,9,12348,74,5609,2973
1.5,9,14,278,0.3,317,7,11134,9,16369,109,7296,3998
1,15,7,196,3,206,4,7951,7,11025,73,4784,2414
3,28,25,566,4,573,10,25230,7,37895,212,16442,8142
3,38,21,601,14.4,625,13,22007,9,39304,201,15143,8725
0.5,5,3,102,2.3,102,2,3678,9,6299,26,2453,1529
3,28,9,551,9.4,606,13,23557,8,37178,234,17061,7138
0.75,10,7,134,2.3,155,3,5623,5,9878,42,3990,2321
1.75,17,6,326,1.4,336,8,14148,8,20489,93,8800,4443
2.5,36,7,447,3.1,496,11,20780,7,31445,187,13359,7355
1.25,18,10,247,1.1,271,6,9070,8,13983,64,5875,3984
3,34,24,547,5.3,634,13,24665,9,32347,219,14084,8277
3,33,21,626,3.6,586,10,24891,8,39212,224,15315,8792
2.5,27,24,499,5.4,547,8,21366,8,26510,122,13767,5921
3,34,14,551,12.2,655,12,23978,9,39539,146,15277,7641
0.5,5,5,94,0.1,108,2,3606,7,5785,34,2464,1165
2,18,11,364,9.7,390,7,14687,5,21897,113,9741,5998
0.75,11,3,151,2.5,151,4,5873,7,8108,53,4098,2349
2,19,19,372,3.8,385,9,15893,8,26858,122,10117,5134
1,12,10,207,0.6,198,5,8093,7,10643,56,5762,2604
2.5,20,11,463,2.8,524,8,18194,5,30283,185,13693,7343
